invoice_no,client_name,amount_due,due_date,contact_email,followup_count,payment_link
INV-1001,Acme Corp,5200.00,2026-05-13,billing@acmecorp.com,0,https://pay.example.com/INV-1001
INV-1002,GlobalTech Solutions,12800.50,2026-05-10,accounts@globaltech.io,1,https://pay.example.com/INV-1002
INV-1003,BrightMind Consulting,3400.00,2026-05-14,finance@brightmind.co,0,https://pay.example.com/INV-1003
INV-1004,Nexus Retail Ltd,8900.75,2026-05-11,payments@nexusretail.com,1,https://pay.example.com/INV-1004
INV-1005,Quantum Analytics,9300.25,2026-05-06,accounts@quantumanalytics.com,1,https://pay.example.com/INV-1005
INV-1006,Orion Systems,4750.00,2026-05-05,finance@orionsys.com,2,https://pay.example.com/INV-1006
INV-1007,Pinnacle Ventures,7200.00,2026-05-08,billing@pinnacleventures.com,1,https://pay.example.com/INV-1007
INV-1008,Crescent Digital,6100.00,2026-05-04,accounts@crescentdigital.in,2,https://pay.example.com/INV-1008
INV-1009,BlueSky Media,15200.00,2026-04-29,billing@blueskymedia.co,2,https://pay.example.com/INV-1009
INV-1010,RedRock Industries,11500.00,2026-04-28,ar@redrockind.com,2,https://pay.example.com/INV-1010
INV-1011,Falcon Enterprises,9800.00,2026-04-30,finance@falconent.com,2,https://pay.example.com/INV-1011
INV-1012,Meridian Partners,22400.75,2026-04-27,billing@meridianpartners.com,2,https://pay.example.com/INV-1012
INV-1013,Vertex Dynamics,18700.00,2026-04-26,accounts@vertexdynamics.com,3,https://pay.example.com/INV-1013
INV-1014,Ironclad Solutions,5600.00,2026-04-22,finance@ironclad.io,3,https://pay.example.com/INV-1014
INV-1015,Skyline Corp,14300.50,2026-04-20,billing@skylinecorp.com,3,https://pay.example.com/INV-1015
INV-1016,Stellar Systems,8200.00,2026-04-19,accounts@stellarsys.in,3,https://pay.example.com/INV-1016
INV-1017,Nimbus Tech,31200.00,2026-04-21,finance@nimbustech.com,3,https://pay.example.com/INV-1017
INV-1018,PeakFlow Logistics,21500.00,2026-04-10,ar@peakflow.net,4,https://pay.example.com/INV-1018
INV-1019,Harbor Trading Co,16800.00,2026-04-05,billing@harbortrading.com,4,https://pay.example.com/INV-1019
INV-1020,Delphi Analytics,28900.80,2026-04-08,accounts@delphianalytics.com,5,https://pay.example.com/INV-1020
INV-1021,Cascade Retail,9750.00,2026-04-12,finance@cascaderetail.co,4,https://pay.example.com/INV-1021
INV-1022,Sunrise Ventures,6100.00,2026-05-28,billing@sunriseventures.in,0,https://pay.example.com/INV-1022
INV-1023,Azure Dynamics,4400.00,2026-06-02,billing@azuredynamics.com,0,https://pay.example.com/INV-1023
INV-1024,Momentum Corp,19200.00,2026-05-30,ar@momentumcorp.in,0,https://pay.example.com/INV-1024
INV-1025,Zenith Exports,42500.00,2026-04-02,accounts@zenithexports.com,5,https://pay.example.com/INV-1025
